"SchoolName","Subject","Exceeds","Meets","Partial","Fail","Total","AvgScore"
"Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School","BIO","14","40","34","1","89","507"
"Abington - Abington High","BIO","3","47","64","12","126","495"
"Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School","PHY","0","10","40","14","64","483"
"Acton-Boxborough - Acton-Boxborough Regional High","BIO","54","127","40","8","229","516"
"Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School","BIO","33","68","27","8","136","515"
"Agawam - Agawam High","BIO","13","22","4","10","49","510"
"Agawam - Agawam High","PHY","4","78","131","12","225","496"
"Amesbury - Amesbury High","BIO","10","50","50","10","120","501"
"Amherst-Pelham - Amherst Regional High","BIO","2","24","29","11","66","492"
"Andover - Andover High","BIO","2","7","11","2","22","501"
"Andover - Andover High","PHY","110","163","98","17","388","514"
"Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School","BIO","0","11","36","27","74","477"
"Arlington - Arlington High","BIO","4","3","2","2","11","511"
"Arlington - Arlington High","PHY","121","165","78","8","372","518"
"Ashburnham-Westminster - Oakmont Regional High School","BIO","0","17","24","4","45","495"
"Ashland - Ashland High","BIO","42","118","44","12","216","512"
"Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School","BIO","10","98","116","35","259","495"
"Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School","PHY","5","12","0","0","17","525"
"Athol-Royalston - Athol High","BIO","1","13","81","25","120","482"
"Atlantis Charter (District) - Atlantis Charter School","PHY","2","14","39","20","75","483"
"Attleboro - Attleboro High","BIO","0","0","1","9","10","457"
"Attleboro - Attleboro High","PHY","30","157","230","49","466","496"
"Auburn - Auburn Senior High","BIO","21","86","63","10","180","504"
"Avon - Avon Middle High School","BIO","0","6","26","17","49","480"
"Ayer Shirley School District - Ayer Shirley Regional High School","BIO","12","51","31","1","95","508"
"Barnstable - Barnstable High","BIO","17","119","120","49","305","495"
"Barnstable - Barnstable High","PHY","1","8","18","3","30","493"
"Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School","BIO","0","7","26","14","47","478"
"Bedford - Bedford High","PHY","79","79","51","3","212","519"
"Belchertown - Belchertown High","BIO","34","61","36","10","141","511"
"Bellingham - Bellingham High School","BIO","8","63","70","13","154","498"
"Belmont - Belmont High","PHY","213","103","41","8","365","532"
"Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School","BIO","5","32","37","15","89","494"
"Berkshire Hills - Monument Mt Regional High","BIO","13","61","32","16","122","503"
"Berlin-Boylston - Tahanto Regional High","BIO","22","49","18","1","90","517"
"Beverly - Beverly High","BIO","44","136","87","36","303","504"
"Billerica - Billerica Memorial High School","BIO","46","145","85","16","292","509"
"Blackstone Valley Regional Vocational Technical - Blackstone Valley","BIO","7","108","65","7","187","504"
"Blackstone Valley Regional Vocational Technical - Blackstone Valley","PHY","30","77","21","0","128","517"
"Blackstone-Millville - Blackstone Millville RHS","BIO","7","16","2","1","26","524"
"Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical","BIO","23","111","78","9","221","505"
"Boston - Another Course To College","PHY","0","2","19","15","36","476"
"Boston - Boston Arts Academy","PHY","2","44","70","17","133","492"
"Boston - Boston Community Leadership Academy","PHY","0","10","35","39","84","474"
"Boston - Boston International High School & Newcomers Academy","PHY","0","0","19","44","63","463"
"Boston - Boston Latin Academy","PHY","37","157","72","4","270","510"
"Boston - Boston Latin School","BIO","158","211","35","0","404","526"
"Boston - Brighton High School","BIO","0","0","3","8","11","462"
"Boston - Brighton High School","PHY","0","7","20","41","68","469"
"Boston - Burke High School","BIO","0","2","5","12","19","483"
"Boston - Burke High School","PHY","0","12","29","7","48","484"
"Boston - Charlestown High School","BIO","0","4","9","23","36","469"
"Boston - Community Academy of Science and Health","BIO","0","10","20","24","54","480"
"Boston - Dearborn 6-12 STEM Academy","BIO","0","8","43","25","76","478"
"Boston - East Boston High School","BIO","0","4","15","31","50","468"
"Boston - East Boston High School","PHY","2","36","78","37","153","486"
"Boston - Excel High School","PHY","0","4","26","31","61","473"
"Boston - Fenway High School","BIO","0","0","0","10","10","0"
"Boston - Fenway High School","PHY","2","17","41","22","82","485"
"Boston - Henderson K-12 Inclusion School Upper","PHY","1","7","31","17","56","481"
"Boston - Lyon High School","PHY","0","1","11","11","23","470"
"Boston - Madison Park Technical Vocational High School","BIO","0","0","3","11","14","486"
"Boston - Madison Park Technical Vocational High School","PHY","1","11","88","125","225","470"
"Boston - Margarita Muniz Academy","PHY","0","0","30","40","70","468"
"Boston - New Mission High School","BIO","1","20","52","34","107","484"
"Boston - New Mission High School","PHY","0","0","8","8","16","467"
"Boston - O'Bryant School of Math & Science","BIO","24","162","118","10","314","504"
"Boston - Quincy Upper School","BIO","0","10","36","17","63","481"
"Boston - Snowden International High School","PHY","0","8","56","32","96","477"
"Boston - TechBoston Academy","BIO","0","9","43","28","80","478"
"Boston - TechBoston Academy","PHY","0","2","34","19","55","476"
"Boston Collegiate Charter (District) - Boston Collegiate Charter School","PHY","3","31","38","9","81","496"
"Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","BIO","0","2","47","18","67","476"
"Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School","BIO","0","12","60","43","115","477"
"Bourne - Bourne High School","BIO","8","32","29","6","75","501"
"Braintree - Braintree High","BIO","100","169","96","26","391","512"
"Bridgewater-Raynham - Bridgewater-Raynham Regional","BIO","27","159","132","25","343","501"
"Bristol County Agricultural - Bristol County Agricultural High","BIO","13","61","79","12","165","499"
"Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical","BIO","20","157","136","23","336","500"
"Brockton - Brockton Champion High School","BIO","0","3","5","9","17","477"
"Brockton - Brockton High","BIO","18","155","396","239","808","483"
"Brockton - PROMISE College and Career Academy","BIO","0","11","22","2","35","490"
"Brooke Charter School (District) - Brooke Charter School","BIO","25","82","38","4","149","511"
"Brookline - Brookline High","BIO","2","2","4","3","11","489"
"Brookline - Brookline High","PHY","201","184","72","8","465","524"
"Burlington - Burlington High","BIO","30","95","62","10","197","507"
"Cambridge - Cambridge Rindge and Latin","BIO","1","2","3","9","15","481"
"Cambridge - Cambridge Rindge and Latin","PHY","18","74","94","36","222","496"
"Canton - Canton High","BIO","59","124","56","13","252","513"
"Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical","BIO","14","82","64","8","168","503"
"Carver - Carver Middle/High School","PHY","2","23","47","6","78","493"
"Central Berkshire - Wahconah Regional High","BIO","9","53","38","12","112","500"
"Chelmsford - Chelmsford High","BIO","70","179","98","20","367","510"
"Chelsea - Chelsea High","BIO","6","68","172","191","437","477"
"Chicopee - Chicopee Academy","PHY","0","0","3","7","10","467"
"Chicopee - Chicopee Comprehensive High School","BIO","12","86","141","34","273","494"
"Chicopee - Chicopee High","BIO","0","29","100","50","179","481"
"City on a Hill Charter Public School (District) - City on a Hill Charter Public School","BIO","0","4","24","18","46","477"
"Clinton - Clinton Senior High","BIO","0","0","10","9","19","470"
"Clinton - Clinton Senior High","PHY","5","40","79","18","142","492"
"Codman Academy Charter Public (District) - Codman Academy Charter Public School","BIO","0","6","14","16","36","478"
"Cohasset - Cohasset High School","PHY","19","69","22","2","112","511"
"Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell","BIO","3","22","28","18","71","488"
"Community Charter School of Cambridge (District) - Community Charter School of Cambridge","PHY","2","18","11","3","34","501"
"Concord-Carlisle - Concord Carlisle High","BIO","104","132","58","11","305","519"
"Danvers - Danvers High","BIO","13","76","72","8","169","501"
"Dartmouth - Dartmouth High","BIO","22","103","92","13","230","504"
"Dedham - Dedham High","BIO","16","71","69","12","168","502"
"Dennis-Yarmouth - Dennis-Yarmouth Regional High","BIO","4","40","55","20","119","492"
"Dennis-Yarmouth - Dennis-Yarmouth Regional High","PHY","0","12","22","1","35","495"
"Dighton-Rehoboth - Dighton-Rehoboth Regional High School","BIO","12","76","50","13","151","502"
"Douglas - Douglas High School","BIO","7","37","23","4","71","505"
"Dover-Sherborn - Dover-Sherborn Regional High","BIO","61","97","21","1","180","523"
"Dracut - Dracut Senior High","BIO","11","75","103","21","210","496"
"Dudley-Charlton Reg - Shepherd Hill Regional High","BIO","22","97","46","3","168","511"
"Dudley-Charlton Reg - Shepherd Hill Regional High","PHY","0","3","65","18","86","478"
"Duxbury - Duxbury High","BIO","33","127","59","6","225","511"
"East Bridgewater - East Bridgewater JR./SR. High School","BIO","6","50","67","14","137","496"
"East Longmeadow - East Longmeadow High","BIO","34","108","53","10","205","510"
"Easthampton - Easthampton High","BIO","3","25","24","2","54","501"
