MUNI,Pop2020,Pop2010
Abington,17062,15985
Acton,24021,21924
Acushnet,10559,10303
Adams,8166,8485
Agawam,28692,28438
Alford,486,494
Amesbury,17366,16283
Amherst,39263,37819
Andover,36569,33201
Aquinnah,439,311
Arlington,46308,42844
Ashburnham,6315,6081
Ashby,3193,3074
Ashfield,1695,1737
Ashland,18832,16593
Athol,11945,11584
Attleboro,46461,43593
Auburn,16889,16188
Avon,4777,4356
Ayer,8479,7427
Barnstable,48916,45193
Barre,5530,5398
Becket,1931,1779
Bedford,14383,13320
Belchertown,15350,14649
Bellingham,16945,16332
Belmont,27295,24729
Berkley,6764,6411
Berlin,3158,2866
Bernardston,2102,2129
Beverly,42670,39502
Billerica,42119,40243
Blackstone,9208,9026
Blandford,1215,1233
Bolton,5665,4897
Boston,675647,617594
Bourne,20452,19754
Boxborough,5506,4996
Boxford,8203,7965
Boylston,4849,4355
Braintree,39143,35744
Brewster,10318,9820
Bridgewater,28633,26563
Brimfield,3694,3609
Brockton,105643,93810
Brookfield,3439,3390
Brookline,63191,58732
Buckland,1816,1902
Burlington,26377,24498
Cambridge,118403,105162
Canton,24370,21561
Carlisle,5237,4852
Carver,11645,11509
Charlemont,1185,1266
Charlton,13315,12981
Chatham,6594,6125
Chelmsford,36392,33802
Chelsea,40787,35177
Cheshire,3258,3235
Chester,1228,1337
Chesterfield,1186,1222
Chicopee,55560,55298
Chilmark,1212,866
Clarksburg,1657,1702
Clinton,15428,13606
Cohasset,8381,7542
Colrain,1606,1671
Concord,18491,17668
Conway,1761,1897
Cummington,829,872
Dalton,6330,6756
Danvers,28087,26493
Dartmouth,33783,34032
Dedham,25364,24729
Deerfield,5090,5125
Dennis,14674,14207
Dighton,8101,7086
Douglas,8983,8471
Dover,5923,5589
Dracut,32617,29457
Dudley,11921,11390
Dunstable,3358,3179
Duxbury,16090,15059
East Bridgewater,14440,13794
East Brookfield,2224,2183
East Longmeadow,16430,15720
Eastham,5752,4956
Easthampton,16211,16053
Easton,25058,23112
Edgartown,5168,4067
Egremont,1372,1225
Erving,1665,1800
Essex,3675,3504
Everett,49075,41667
Fairhaven,15924,15873
Fall River,94000,88857
Falmouth,32517,31531
Fitchburg,41946,40318
Florida,694,752
Foxborough,18618,16865
Framingham,72362,68318
Franklin,33261,31635
Freetown,9206,8870
Gardner,21287,20228
Georgetown,8470,8183
Gill,1551,1500
Gloucester,29729,28789
Goshen,960,1054
Gosnold,70,75
Grafton,19664,17765
Granby,6110,6240
Granville,1538,1566
Great Barrington,7172,7104
Greenfield,17768,17456
Groton,11315,10646
Groveland,6752,6459
Hadley,5325,5250
Halifax,7749,7518
Hamilton,7561,7764
Hampden,4966,5139
Hancock,757,717
Hanover,14833,13879
Hanson,10639,10209
Hardwick,2667,2990
Harvard,6851,6520
Harwich,13440,12243
Hatfield,3352,3279
Haverhill,67787,60879
Hawley,353,337
Heath,723,706
Hingham,24284,22157
Hinsdale,1919,2032
Holbrook,11405,10791
Holden,19905,17346
Holland,2603,2481
Holliston,14996,13547
Holyoke,38238,39880
Hopedale,6017,5911
Hopkinton,18758,14925
Hubbardston,4328,4382
Hudson,20092,19063
Hull,10072,10293
Huntington,2094,2180
Ipswich,13785,13175
Kingston,13708,12629
Lakeville,11523,10602
Lancaster,8441,8055
Lanesborough,3038,3091
Lawrence,89143,76377
Lee,5788,5943
Leicester,11087,10970
Lenox,5095,5025
Leominster,43782,40759
Leverett,1865,1851
Lexington,34454,31394
Leyden,734,711
Lincoln,7014,6362
Littleton,10141,8924
Longmeadow,15853,15784
Lowell,115554,106519
Ludlow,21002,21103
Lunenburg,11782,10086
Lynn,101253,90329
Lynnfield,13000,11596
Malden,66263,59450
Manchester-by-the-Sea,5395,5136
Mansfield,23860,23184
Marblehead,20441,19808
Marion,5347,4907
Marlborough,41793,38499
Marshfield,25825,25132
Mashpee,15060,14006
Mattapoisett,6508,6045
Maynard,10746,10106
Medfield,12799,12024
Medford,59659,56173
Medway,13115,12752
Melrose,29817,26983
Mendon,6228,5839
Merrimac,6723,6338
Methuen,53059,47255
Middleborough,24245,23116
Middlefield,385,521
Middleton,9779,8987
Milford,30379,27999
Millbury,13831,13261
Millis,8460,7891
Millville,3174,3190
Milton,28630,27003
Monroe,118,121
Monson,8150,8560
Montague,8580,8437
Monterey,1095,961
Montgomery,819,838
Mount Washington,160,167
Nahant,3334,3410
Nantucket,14255,10172
Natick,37006,33006
Needham,32091,28886
New Ashford,250,228
New Bedford,101079,95072
New Braintree,996,999
New Marlborough,1528,1509
New Salem,983,990
Newbury,6716,6666
Newburyport,18289,17416
Newton,88923,85146
Norfolk,11662,11227
North Adams,12961,13708
North Andover,30915,28352
North Attleborough,30834,28712
North Brookfield,4735,4680
North Reading,15554,14892
Northampton,29571,28549
Northborough,15741,14155
Northbridge,16335,15707
Northfield,2866,3032
Norton,19202,19031
Norwell,11351,10506
Norwood,31611,28602
Oak Bluffs,5341,4527
Oakham,1851,1902
Orange,7569,7839
Orleans,6307,5890
Otis,1634,1612
Oxford,13347,13709
Palmer,12448,12140
Paxton,5004,4806
Peabody,54481,51251
Pelham,1280,1321
Pembroke,18361,17837
Pepperell,11604,11497
Peru,814,847
Petersham,1194,1234
Phillipston,1726,1682
Pittsfield,43927,44737
Plainfield,633,648
Plainville,9945,8264
Plymouth,61217,56468
Plympton,2930,2820
Princeton,3495,3413
Provincetown,3664,2942
Quincy,101636,92271
Randolph,34984,32112
Raynham,15142,13383
Reading,25518,24747
Rehoboth,12502,11608
Revere,62186,51755
Richmond,1407,1475
Rochester,5717,5232
Rockland,17803,17489
Rockport,6992,6952
Rowe,424,393
Rowley,6161,5856
Royalston,1250,1258
Russell,1643,1775
Rutland,9049,7973
Salem,44480,41340
Salisbury,9236,8283
Sandisfield,989,915
Sandwich,20259,20675
Saugus,28619,26628
Savoy,645,692
Scituate,19063,18133
Seekonk,15531,13722
Sharon,18575,17612
Sheffield,3327,3257
Shelburne,1884,1893
Sherborn,4401,4119
Shirley,7431,7211
Shrewsbury,38325,35608
Shutesbury,1717,1771
Somerset,18303,18165
Somerville,81045,75754
South Hadley,18150,17514
Southampton,6224,5792
Southborough,10450,9767
Southbridge,17740,16719
Southwick,9232,9502
Spencer,11992,11688
Springfield,155929,153060
Sterling,7985,7808
Stockbridge,2018,1947
Stoneham,23244,21437
Stoughton,29281,26962
Stow,7174,6590
Sturbridge,9867,9268
Sudbury,18934,17659
Sunderland,3663,3684
Sutton,9357,8963
Swampscott,15111,13787
Swansea,17144,15865
Taunton,59408,55874
Templeton,8149,8013
Tewksbury,31342,28961
Tisbury,4815,3949
Tolland,471,485
Topsfield,6569,6085
Townsend,9127,8926
Truro,2454,2003
Tyngsborough,12380,11292
Tyringham,427,327
Upton,8000,7542
Uxbridge,14162,13457
Wakefield,27090,24932
Wales,1832,1838
Walpole,26383,24070
Waltham,65218,60632
Ware,10066,9872
Wareham,23303,21822
Warren,4975,5135
Warwick,780,780
Washington,494,538
Watertown,35329,31915
Wayland,13943,12994
Webster,17776,16767
