MUNI,SchoolName,Subject,Exceeds,Meets,Partial,Fail,Total,AvgScore
Abington,Abington - Abington High,BIO,3,47,64,12,126,495
Acton,Acton-Boxborough - Acton-Boxborough Regional High,BIO,54,127,40,8,229,516
Boxborough,Acton-Boxborough - Acton-Boxborough Regional High,BIO,54,127,40,8,229,516
Agawam,Agawam - Agawam High,BIO,13,22,4,10,49,510
Agawam,Agawam - Agawam High,PHY,4,78,131,12,225,496
Amesbury,Amesbury - Amesbury High,BIO,10,50,50,10,120,501
Amherst,Amherst-Pelham - Amherst Regional High,BIO,2,24,29,11,66,492
Pelham,Amherst-Pelham - Amherst Regional High,BIO,2,24,29,11,66,492
Andover,Andover - Andover High,BIO,2,7,11,2,22,501
Andover,Andover - Andover High,PHY,110,163,98,17,388,514
Arlington,Arlington - Arlington High,BIO,4,3,2,2,11,511
Arlington,Arlington - Arlington High,PHY,121,165,78,8,372,518
Ashburnham,Ashburnham-Westminster - Oakmont Regional High School,BIO,0,17,24,4,45,495
Westminster,Ashburnham-Westminster - Oakmont Regional High School,BIO,0,17,24,4,45,495
Ashland,Ashland - Ashland High,BIO,42,118,44,12,216,512
Athol,Athol-Royalston - Athol High,BIO,1,13,81,25,120,482
Royalston,Athol-Royalston - Athol High,BIO,1,13,81,25,120,482
Attleboro,Attleboro - Attleboro High,BIO,0,0,1,9,10,457
Attleboro,Attleboro - Attleboro High,PHY,30,157,230,49,466,496
Auburn,Auburn - Auburn Senior High,BIO,21,86,63,10,180,504
Avon,Avon - Avon Middle High School,BIO,0,6,26,17,49,480
Barnstable,Barnstable - Barnstable High,BIO,17,119,120,49,305,495
Barnstable,Barnstable - Barnstable High,PHY,1,8,18,3,30,493
Bedford,Bedford - Bedford High,PHY,79,79,51,3,212,519
Belchertown,Belchertown - Belchertown High,BIO,34,61,36,10,141,511
Bellingham,Bellingham - Bellingham High School,BIO,8,63,70,13,154,498
Belmont,Belmont - Belmont High,PHY,213,103,41,8,365,532
Berlin,Berlin-Boylston - Tahanto Regional High,BIO,22,49,18,1,90,517
Boylston,Berlin-Boylston - Tahanto Regional High,BIO,22,49,18,1,90,517
Beverly,Beverly - Beverly High,BIO,44,136,87,36,303,504
Billerica,Billerica - Billerica Memorial High School,BIO,46,145,85,16,292,509
Blackstone,Blackstone-Millville - Blackstone Millville RHS,BIO,7,16,2,1,26,524
Millville,Blackstone-Millville - Blackstone Millville RHS,BIO,7,16,2,1,26,524
Boston,Boston - Another Course To College,PHY,0,2,19,15,36,476
Boston,Boston - Boston Arts Academy,PHY,2,44,70,17,133,492
Boston,Boston - Boston Community Leadership Academy,PHY,0,10,35,39,84,474
Boston,Boston - Boston International High School & Newcomers Academy,PHY,0,0,19,44,63,463
Boston,Boston - Boston Latin Academy,PHY,37,157,72,4,270,510
Boston,Boston - Boston Latin School,BIO,158,211,35,0,404,526
Boston,Boston - Brighton High School,BIO,0,0,3,8,11,462
Boston,Boston - Brighton High School,PHY,0,7,20,41,68,469
Boston,Boston - Burke High School,BIO,0,2,5,12,19,483
Boston,Boston - Burke High School,PHY,0,12,29,7,48,484
Boston,Boston - Charlestown High School,BIO,0,4,9,23,36,469
Boston,Boston - Community Academy of Science and Health,BIO,0,10,20,24,54,480
Boston,Boston - Dearborn 6-12 STEM Academy,BIO,0,8,43,25,76,478
Boston,Boston - East Boston High School,BIO,0,4,15,31,50,468
Boston,Boston - East Boston High School,PHY,2,36,78,37,153,486
Boston,Boston - Excel High School,PHY,0,4,26,31,61,473
Boston,Boston - Fenway High School,PHY,2,17,41,22,82,485
Boston,Boston - Henderson K-12 Inclusion School Upper,PHY,1,7,31,17,56,481
Boston,Boston - Lyon High School,PHY,0,1,11,11,23,470
Boston,Boston - Madison Park Technical Vocational High School,BIO,0,0,3,11,14,486
Boston,Boston - Madison Park Technical Vocational High School,PHY,1,11,88,125,225,470
Boston,Boston - Margarita Muniz Academy,PHY,0,0,30,40,70,468
Boston,Boston - New Mission High School,BIO,1,20,52,34,107,484
Boston,Boston - New Mission High School,PHY,0,0,8,8,16,467
Boston,Boston - O'Bryant School of Math & Science,BIO,24,162,118,10,314,504
Boston,Boston - Quincy Upper School,BIO,0,10,36,17,63,481
Boston,Boston - Snowden International High School,PHY,0,8,56,32,96,477
Boston,Boston - TechBoston Academy,BIO,0,9,43,28,80,478
Boston,Boston - TechBoston Academy,PHY,0,2,34,19,55,476
Bourne,Bourne - Bourne High School,BIO,8,32,29,6,75,501
Braintree,Braintree - Braintree High,BIO,100,169,96,26,391,512
Bridgewater,Bridgewater-Raynham - Bridgewater-Raynham Regional,BIO,27,159,132,25,343,501
Raynham,Bridgewater-Raynham - Bridgewater-Raynham Regional,BIO,27,159,132,25,343,501
Brockton,Brockton - Brockton Champion High School,BIO,0,3,5,9,17,477
Brockton,Brockton - Brockton High,BIO,18,155,396,239,808,483
Brockton,Brockton - PROMISE College and Career Academy,BIO,0,11,22,2,35,490
Brookline,Brookline - Brookline High,BIO,2,2,4,3,11,489
